longitude,latitude
120.8908166667,24.5878283333
121.1359405518,22.9338912114
121.1004837578,24.7850071424
121.1394555017,24.6955160177
120.4955062866,23.9420166016
121.265105,24.8782583333
121.581299901,25.0910985065
120.6582763889,24.3006911944
120.8059289,24.365938
121.58998362,24.99510071
120.359445,22.3290083333
121.0905223712,25.0547021197
121.2558131813,24.9775367701
121.7821170421,25.1365504034
120.2823486328,23.4472427368
120.3121250146,23.1833192239
120.73563352,21.97673175
120.9372935443,24.3429434377
121.2898624249,25.1051092486
120.38139439,23.81754961
121.92135566,25.01858439
120.7570853611,24.5557647778
120.9650716667,22.531125
120.796913574,24.194379111
119.674705,23.591133
120.54754667,24.07710833
121.76865333,24.83308
120.4888763333,23.3242988333
120.2840957639,22.9526290892
121.4092793006,24.6555771892
121.40559756,23.7176096
120.4604259,23.6030716
121.7394419722,24.3290059722
120.646419,22.70055286
120.2095307105,22.8344734434
120.5763483333,22.9267666667
120.1964918648,23.0649279989
121.3669845997,24.7930780997
121.1247960228,24.9176018394
120.6008668284,23.9979909547
121.00205,23.7865866667
120.7895033333,23.8663033333
121.54149812,23.8998537
120.18235,23.5472133333
120.3064415,23.7229708997
120.6796240434,24.1235364771
121.8444645997,24.5755213997
120.124906142,23.2650274041
120.5970227346,24.1791384066
120.7232462,23.10622257
120.1071695,23.1498195
120.2119555556,23.1984166667
120.77577167,24.05463883
121.6205533333,24.6627966667
120.8255783333,23.2647166667
119.5768818349,23.5768943371
121.153424,23.042757
120.3521944682,23.0256611872
120.9824753,24.7880544
120.46637249,22.90595129
120.9095083333,24.1755366667
121.7603666667,24.63155
120.6536789722,22.2625689722
120.6324204,22.5916039
120.4213525092,23.7251928668
121.0831316667,22.7323411111
120.6233749722,23.727063
120.4692083333,23.21498
121.3891080916,25.0680118162
121.6055967,24.0712073
120.7076226158,23.7831850096
120.3425966667,22.8118666667
121.0488805,23.9102383333
120.746545,24.4377833333
120.326274557,23.9703055847
120.9714,24.907001
120.2728729,22.6260971
121.5000993477,24.9507032589
120.9305416667,24.0599222222
120.8557116372,24.6973100343
121.3162533333,23.3351783333
120.8546533333,21.9170366667
121.5951783333,23.9789783333
120.9075466667,23.8659
120.6992023552,23.976164709
120.36863,22.648475
120.5821701697,23.894340831
120.9904770281,24.6737455147
120.5594433333,23.453395
121.363503188,24.9264949188
120.8931416667,22.33983
120.2610147679,23.6201721055
120.2684022,22.72975665
120.6948016857,23.5863235918
121.1983843828,22.7960017858
120.5915346863,23.5927894707
120.5247445947,23.6952934559
120.4611480556,23.4941161111
121.6137572613,25.240967259
120.6783230641,22.8888343948
